url_path,views_total,views_unique
/ClavelLab/genome-assembly,7,6
/clavellab/genome-assembly,2,2
/ClavelLab/genome-assembly/blob/main/workflow/rules/assembly.smk,2,1
/ClavelLab/genome-assembly/blob/main/workflow/Snakefile,2,1
/ClavelLab/genome-assembly/blob/main/config/config.yaml,1,1
/ClavelLab/genome-assembly/blob/main/config/README.md,1,1
/ClavelLab/genome-assembly/tree/main/config,1,1
/ClavelLab/genome-assembly/tree/main/workflow,1,1
/ClavelLab/genome-assembly/tree/main/workflow/rules,1,1
/ClavelLab/genome-assembly/tree/main/workflow/schemas,1,1
