url_path,views_total,views_unique
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/babs1984-patch-1/docs/_How-We-Operate/01-governance-workflows.md,34,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/tree/babs1984-patch-1/docs/_How-We-Operate,17,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base,15,9
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/babs1984-patch-1/docs/_How-We-Operate/00-N4M-intro.md,8,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blob/main/docs/_Research-Data-Management/24-aruna-object-storage.md,7,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/pulls,6,5
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/tree/main/docs,4,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/tree/main/docs/_Research-Data-Management,4,2
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/actions/runs/8925079916,4,1
/NFDI4Microbiota/nfdi4microbiota-knowledge-base/blame/babs1984-patch-1/docs/_How-We-Operate/01-governance-workflows.md,4,1
